park_name,fountain_number,location_description,status,
LINCOLN (ABRAHAM),Lincoln (Abraham) #2 ,"WEST OF LSD, BRYN MAWR AND LSD - SOUTH OF PLAYGROUND",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #3 ,"WEST OF LSD, PATH TRIANGLE ""MEADOWS""",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #4,"WEST OF LSD, FOSTER AND MARINE AT INTERSECTION",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #5,"WEST OF LSD, PATH TRIANGLE, 100 YARDS NORTH OF MARGATE FIELDHOUSE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #6,"WEST OF LSD, PLAYGROUND AT MARGATE FIELDHOUSE, EAST SIDE OF BUILDING",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #7,"WEST OF LSD, MARGATE DOG PARK",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #8,"WEST OF LSD, MARGATE DOG PARK",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #9,"WEST OF LSD, SOUTHEAST CORNER OF LAWRENCE AND MARINE",Continuous flow - To be assessed for repair/replacement/removal,
LINCOLN (ABRAHAM),Lincoln (Abraham) #10,"WEST OF LSD, NORTHEAST CORNER OF WILSON AND MARINE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #11,"WEST OF LSD, MONTROSE AND CLARENDON DOG PARK",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #12,"WEST OF LSD, WEST ENTRANCE TO BUENA UNDERPASS, PEACE GARDEN",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #13,"WEST OF LSD, BELMONT LSD RAMP, TESCLER PLAYLOT",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #14,"WEST OF LSD, ALTGELD MONUMENT",In flushing protocol - 2017 EPA Test pending,
LINCOLN (ABRAHAM),Lincoln (Abraham) #15,"WEST OF LSD, PLAYGROUND AT NORTH POND",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #16,"WEST OF LSD, BRIDGE PATH WEST SIDE OF DIVERSY HARBOR",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #17,"WEST OF LSD, STOCKTON ENTRANCE TO NORTH POND, NEAR GAZEBO",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #18,"WEST OF LSD, FULLERTON AND CANNON, WEST OF LIFT STATION",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #19,"WEST OF LSD, FULLERTON, SOUTH TIP OF NORTH POND",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #20,"WEST OF LSD, FULLERTON AND STOCKTON, BETWEEN STOCKTON AND LAKEVIEW",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #21,"WEST OF LSD, FULLERTON, BETWEEN STOCKTON AND LINCOLN PARK WEST",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #22,"WEST OF LSD, SOUTH OF CONSERVATORY, NORTH OF BATES FOUNTAIN",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #23,"WEST OF LSD, WEST OF SOUTH LAGOON, EAST OF ZOO POWER HOUSE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #24,"WEST OF LSD, CUMMINS PLAYLOT",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #25,"WEST OF LSD, EAST ENTRANCE OF UNDERPASS AT CULTURAL CENTER",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #26,"WEST OF LSD, CLARK STREET ENTRANCE TO CULTURAL CENTER",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #27,"WEST OF LSD, EAST OF CANNON AT SOUTH END OF SOUTH LAGOON",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #28,"WEST OF LSD, SHAKESPEARE GARDEN, SOUTH END OF SOUTH POND",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #30,"WEST OF LSD, SOUTH FIELD AT PASSERRELLE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #31,"WEST OF LSD, SOUTH FIELD , NORTH OF FIELDHOUSE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #32,"WEST OF LSD, SOUTH FIELDHOUSE AT WEST ENTRANCE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #33,"WEST OF LSD, SOUTH FIELDHOUSE, SOUTH ENTRANCE AT BALL FIELD",Continuous flow - To be assessed for repair/replacement/removal,
LINCOLN (ABRAHAM),Lincoln (Abraham) #34,"EAST OF LSD, OAK STREET CONCESSION",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #35,"EAST OF LSD, AT OAK STREET BEACH",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #36,"EAST OF LSD, AT ELM, NEAR OAK STREET BEACH",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #37,"EAST OF LSD, AT DIVISION, NEAR OAK STREET BEACH",Continuous flow - To be assessed for repair/replacement/removal,
LINCOLN (ABRAHAM),Lincoln (Abraham) #38,"EAST OF LSD, AT GOETHE, NEAR OAK STREET BEACH",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #39,"EAST OF LSD, AT NORTH AVE. LSD RAMP",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #40,"EAST OF LSD, NAB BEACH HOUSE, NORTHWEST RESTROOM",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #41,"EAST OF LSD, NAB BEACH HOUSE, SW WOMEN'S RESTROOM",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #42,"EAST OF LSD, NAB BEACH HOUSE, SW MEN'S RESTROOM",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #43,"EAST OS LSD, NAB BEACH HOUSE, SE MEN'S RESTROOM",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #44,"EAST OF LSD, NAB BEACH HOUSE, SE WOMEN'S RESTROOM",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #46,"EAST OF LSD, NAB BEACH HOUSE, EAST MEN'S RESTROOM",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #47,"EAST OF LSD, AT WISCONSIN, NEAR NORTH AVE BEACH",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #48,"EAST OF LSD, AT ARMITAGE, NEAR NORTH AVE. BEACH",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #49,"EAST OF LSD, AT WEBSTER COMFORT STATION",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #50,"EAST OF LSD, AT FULLERTON",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #51,"EAST OF LSD, AT FULLERTON, THEATRE ON THE LAKE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #52,"EAST OF LSD, AT DIVERSEY",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #53,"EAST OF LSD, AT BELMONT HARBOR CONCESSION, SOUTH",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #54,"EAST OF LSD, AT BELMOND HARBOR COMFORT STATION, WEST",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #55,"EAST OF LSD, BELMONT HARBOR EAST",Inactive. Broken service,
LINCOLN (ABRAHAM),Lincoln (Abraham) #56,"EAST OF LSD, BELMONT HARBOR AT BROMPTON, TOTEM POLE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #57,"EAST OF LSD, AT WAVELAND, BIRD SANCTUARY",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #58,"EAST OF LSD, AT WAVELAND, SOUTH TENNIS COURTS",Continuous flow - To be assessed for repair/replacement/removal,
LINCOLN (ABRAHAM),Lincoln (Abraham) #59,"EAST OF LSD, AT WAVELAND BASEBALL FIELDS",Continuous flow - To be assessed for repair/replacement/removal,
LINCOLN (ABRAHAM),Lincoln (Abraham) #60,"EAST OF LSD, AT WAVELAND NORTH TENNIS COURTS",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #61,"EAST OF LSD, AT WAVELAND, MAROVITZ 3RD GREEN",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #62,"EAST OF LSD, AT MONTROSE, ON BIKE PATH",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #63,"EAST OF LSD, AT WILSON COMFORT STATION",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #64,"EAST OF LSD, SW SIDE OF CRICKET HILL",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #65,"EAST OF LSD, MONTROSE HARBOR NORTH",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #66,"EAST OF LSD, MONTROSE HARBOR, NEAR BAIT SHOP",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #67,"EAST OF LSD, MONTROSE BEACH CONCESSION",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #68,"EAST OF LSD, MONTROSE BEACH, NORTH OF BEACH HOUSE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #69,"EAST OF LSD, MONTROSE BEACH HOUSE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #70,"EAST OF LSD, AT WILSON",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #71,"EAST OF LSD, AT LELAND",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #72,"EAST OF LSD, AT LAWRENCE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #73,"EAST OF LSD, AT CASTLEWOOD",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #74,"EAST OF LSD, AT ARGYLE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #75,"EAST OF LSD, AT CARMEN",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #76,"EAST OF LSD, AT FOSTER BEACH HOUSE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #77,"EAST OF LSD, AT BALMORAL",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #78,"EAST OF LSD, AT BRYN MAWR",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #79,"EAST OF LSD, AT SOUTHEAST OF OSTERMAN BEACH HOUSE",Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #80,ARDMORE,Passed testing - returned to normal push-button operation,
LINCOLN (ABRAHAM),Lincoln (Abraham) #81,DIVERSEY DRIVING RANGE,Continuous flow - To be assessed for repair/replacement/removal,
LINDBLOM (ROBERT),Lindblom (Robert) #1,ON DAMEN AT 60TH,Passed testing - returned to normal push-button operation,
LINDBLOM (ROBERT),Lindblom (Robert) #2,POOL DECK,Passed testing - returned to normal push-button operation,
LINDBLOM (ROBERT),Lindblom (Robert) #3,SOUTHWEST OF POOL FENCE ON PATH,In flushing protocol - 2017 EPA Test pending,
LINDEN,Linden #1,"ON PULASKI, SOUTHWEST OF BASKETBALL COURT",Passed testing - returned to normal push-button operation,
LITTLE VENICE,Little Venice #1,NORTHEAST CORNER OF PARK,Passed testing - returned to normal push-button operation,
LIVINGSTON FIELD,Livingston Field #1,SOUTHWEST CORNER OF FIELD,Passed testing - returned to normal push-button operation,
LOGAN BOULEVARD SKATE PARK,Logan Boulevard Skate Park #1,NORTH OF PATH UNDER KENNEDY,Passed testing - returned to normal push-button operation,
LOWE (SAMUEL),Lowe (Samuel) #1,SOUTHEAST CORNER OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
LOYOLA,Loyola #2,NORTHWEST CORNER OF BASKETBALL COURT,Passed testing - returned to normal push-button operation,
LOYOLA,Loyola #3,PLAYGROUND,Passed testing - returned to normal push-button operation,
LOYOLA,Loyola #4,COMFORT STATION,Passed testing - returned to normal push-button operation,
LOYOLA,Loyola #5,MORSE CUL-DE-SAC,Passed testing - returned to normal push-button operation,
LOYOLA,Loyola #6,FARWELL CUL-DE-SAC,Continuous flow - To be assessed for repair/replacement/removal,
LOYOLA,Loyola #7,SOUTHEAST CORNER OF TENNIS COURT,Continuous flow - To be assessed for repair/replacement/removal,
LUELLA,Luella #1,"SOUTHEAST CORNER OF BASKETBALL COURT, ON PATH",Passed testing - returned to normal push-button operation,
LUELLA,Luella #2,"WEST PATH, MIDDLE OF PARK",Passed testing - returned to normal push-button operation,
LUNA,Luna #1,AT ENTRANCE ON 56TH,In flushing protocol - 2017 EPA Test pending,
"LUNT (ORRINGTON, STEPHEN)","Lunt (Orrington, Stephen) #1",AT PARK ENTRANCE ON LUNT,Passed testing - returned to normal push-button operation,
MAGNOLIA,Magnolia #1,PARK ENTRANCE,Passed testing - returned to normal push-button operation,
MALUS,Malus #1,AT ENTRANCE ON SHEILDS,Continuous flow - To be assessed for repair/replacement/removal,
MANDRAKE (HENRY BROWN),Mandrake (Henry Brown) #1,ON PATH WEST OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
MANDRAKE (HENRY BROWN),Mandrake (Henry Brown) #2,ATTACHED TO NORTH SIDE OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
MANDRAKE (HENRY BROWN),Mandrake (Henry Brown) #3,ATTACHED TO SOUTH SIDE OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
MANDRAKE (HENRY BROWN),Mandrake (Henry Brown) #4,"ACROSS STREET, EAST OF RUNNING TRACK",Passed testing - returned to normal push-button operation,
MANDRAKE (HENRY BROWN),Mandrake (Henry Brown) #5,(LOC. NEEDED),Passed testing - returned to normal push-button operation,
MANDRAKE (HENRY BROWN),Mandrake (Henry Brown) #6,(LOC. NEEDED),Passed testing - returned to normal push-button operation,
MANN (JAMES),Mann (James) #1,CENTER OF PARK ALONG 130TH,Continuous Flow - Dead end service,
MANN (JAMES),Mann (James) #2,EAST ENTRANCE OFF CARONDOLET,Passed testing - returned to normal push-button operation,
MANN (JAMES),Mann (James) #3,PLAYGROUND NEAR TENNIS COURT,Passed testing - returned to normal push-button operation,
MANN (JAMES),Mann (James) #4,"WEST SIDE OF BUILDING, ALONG POOL FENCE",Passed testing - returned to normal push-button operation,
MAPLE,Maple #1,NORTH SIDE OF PARK,In flushing protocol - 2017 EPA Test pending,
MAPLEWOOD,Maplewood #1,PLAYGROUND,Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #1,"WEST OF SPRAYPOOL, EAST OF PLAYGROUND, SOUTH OF 67TH",Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #2,"SOUTHEAST OF LANDSCAPE YARD ENTRANCE, WEST OF TENNIS COURTS",Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #3,NORTH OF ROSE GARDEN,Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #4,SOUTHWEST CORNER OF KEDZIE AND REDFIELD,Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #5,"SOUTHEAST PLAYGROUND, NORTH OF 71ST",Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #6,"OFF WALKING PATH, EAST OF REDFIELD, AT 70TH",Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #7,"WEST OF EAST COMFORT STATION, SOUTH OF SOCCER",In flushing protocol - 2017 EPA Test pending,
MARQUETTE (JACQUES),Marquette (Jacques) #8,"NORTH OF 69TH ON PATH EAST OF BRIDGE, EAST OF REDFIELD",Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #9,"WEST OF CALIFORNIA, EAST OF TENNIS",Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #10,"CORNER OF REDFIELD AND SACRAMENTO, NORTH SIDE",Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #11,SOUTH OF TRACK AT COMFORT STATION,Passed testing - returned to normal push-button operation,
MARQUETTE (JACQUES),Marquette (Jacques) #12,SOUTH OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
MARSHFIELD,Marshfield #1,SOUTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
MASON (ELIZABETH),Mason (Elizabeth) #1,ON PATH CLOSEST TO SOUTH WEST ENTRANCE,Passed testing - returned to normal push-button operation,
MASON (ELIZABETH),Mason (Elizabeth) #2,"NEAR PLAYGROUND, NORTH EAST CORNER",Passed testing - returned to normal push-button operation,
MATANKY (EUGENE),Matanky (Eugene) #1,AT RIDGE ENTRANCE,Passed testing - returned to normal push-button operation,
MATHER (STEPHEN TYNG),Mather (Stephen Tyng) #1,PLAYLOT,Passed testing - returned to normal push-button operation,
MATHER (STEPHEN TYNG),Mather (Stephen Tyng) #2,WEST OF CALIFORNIA,Inactive. Broken service,
MATHER (STEPHEN TYNG),Mather (Stephen Tyng) #3,"ON PATH, NORTH OF SCHOOL",Passed testing - returned to normal push-button operation,
MAYFAIR,Mayfair #1,WEST OF FIELDHOUSE AT SPRAYPOOL,Passed testing - returned to normal push-button operation,
MCGUANE (JOHN),McGuane (John) #1,"NORTHWEST CORNER OF FIELDHOUSE, SOUTH OF PLAYLOT",Passed testing - returned to normal push-button operation,
MCGUANE (JOHN),McGuane (John) #2,SOUTHEAST CORNER OF TENNIS COURTS,Continuous flow - To be assessed for repair/replacement/removal,
MCGUANE (JOHN),McGuane (John) #3,SOUTHWEST CORNER OF FIELDHOUSE,Continuous flow - To be assessed for repair/replacement/removal,
MCGUANE (JOHN),McGuane (John) #4,DIAMOND 2 - EAST SIDE,Passed testing - returned to normal push-button operation,
MCGUANE (JOHN),McGuane (John) #5,EAST OF FIELD HOUSE,Passed testing - returned to normal push-button operation,
MCINERNEY (THOMAS),McInerney (Thomas) #1,"NORTHEAST CORNER, ON EMERALD CUL-DE-SAC",Passed testing - returned to normal push-button operation,
MCKIERNAN (DAVID),McKiernan (David) #1,WEST OF PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
MCKINLEY (WILLIAM),McKinley (William) #1,SOUTHWEST CORNER OF TENNIS COURTS AT NORTHWEST CORNER,Continuous flow - To be assessed for repair/replacement/removal,
MCKINLEY (WILLIAM),McKinley (William) #2,"MIDDLE OF PARK, WEST OF PLAYGROUND",Passed testing - returned to normal push-button operation,
MCKINLEY (WILLIAM),McKinley (William) #3,IN BETWEEN TENNIS COURTS ON WEST SIDE OF THE PARK,Continuous flow - To be assessed for repair/replacement/removal,
MCKINLEY (WILLIAM),McKinley (William) #4,NORTHEAST OF MAIN FIELDHOUSE,Passed testing - returned to normal push-button operation,
MCKINLEY (WILLIAM),McKinley (William) #5,POOL DECK,Passed testing - returned to normal push-button operation,
"MELLIN (CURTIS, SR.)","Mellin (Curtis, Sr.) #1",AT PARK ENTRANCE ON ASHLAND,Passed testing - returned to normal push-button operation,
MEMORIAL,Memorial #1,NORTHWEST CORNER OF BASKETBALL COURT,Passed testing - returned to normal push-button operation,
MEMORIAL,Memorial #2,WEST OF PLAYGROUND,Passed testing - returned to normal push-button operation,
MERRILL (GEORGE),Merrill (George) #1,"NORTHEAT OF BASKETBALL COURTS, ON PATH",Passed testing - returned to normal push-button operation,
MERRIMAC,Merrimac #1,EAST SIDE OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
MERRIMAC,Merrimac #2,"WEST OF DRIVEWAY, ON PATH",Passed testing - returned to normal push-button operation,
MERRIMAC,Merrimac #3,"EAST-CENTER OF PARK, ON PATH",Passed testing - returned to normal push-button operation,
MERRYMAN (THERON),Merryman (Theron) #1,AT ENTRANCE,Passed testing - returned to normal push-button operation,
METCALFE (RALPH),Metcalfe (Ralph) #1,EAST OF SPRAYPOOL AND PLAYGROUND,Passed testing - returned to normal push-button operation,
METCALFE (RALPH),Metcalfe (Ralph) #2,EAST OF FIELD HOUSE,Continuous flow - To be assessed for repair/replacement/removal,
METCALFE (RALPH),Metcalfe (Ralph) #3,WEST AND INBETWEEN BASKETBALL COURTS,Continuous flow - To be assessed for repair/replacement/removal,
MEYERING (WILLIAM),Meyering (William) #1,SPRAYPOOL,Passed testing - returned to normal push-button operation,
MEYERING (WILLIAM),Meyering (William) #2,NORTHWEST OF FIELDHOUSE ON PATH,Passed testing - returned to normal push-button operation,
MIAMI,Miami #1,SOUTHEAST CORNER OF PARK,Passed testing - returned to normal push-button operation,
MICEK (FRANK),Micek (Frank) #1,SOUTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
MIDWAY PLAISANCE,Midway Plaisance #1,"NORTH SIDE, AT ABOUT 900 EAST",Passed testing - returned to normal push-button operation,
MIDWAY PLAISANCE,Midway Plaisance #2,"NORTH SIDE, ACROSS FROM ICE RINK",Passed testing - returned to normal push-button operation,
MIDWAY PLAISANCE,Midway Plaisance #3,"NORTH SIDE, EAST OF CROSSWALK AT ABOUT 1325 EAST",Inactive. Broken service,
MIDWAY PLAISANCE,Midway Plaisance #4,"SOUTH SIDE, WEST OF INGLESIDE",Passed testing - returned to normal push-button operation,
MIDWAY PLAISANCE,Midway Plaisance #5,"SOUTH SIDE, SOUTH OF ICE RINK",Continuous flow - To be assessed for repair/replacement/removal,
MIDWAY PLAISANCE,Midway Plaisance #6,"SOUTH SIDE, EAST OF KIMBARK",Passed testing - returned to normal push-button operation,
MILLER (SAMUEL),Miller (Samuel) #1,"IN PLAYLOT, AT MILLER ENTRANCE",Passed testing - returned to normal push-button operation,
MINUTEMAN,Minuteman #1,NEAR PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
MINUTEMAN,Minuteman #2,"BETWEEN WESTERN BALL FIELDS, ON PATH",Continuous flow - To be assessed for repair/replacement/removal,
MOCCASIN RANCH,Moccasin Ranch #1,CENTER OF PARK,Continuous flow - To be assessed for repair/replacement/removal,
MONTICELLO,Monticello #1,SOUTHWEST CORNER OF PARK ON MONTICELLO,Passed testing - returned to normal push-button operation,
MONUMENT,Monument #1,"ON OLIPHANT, EAST-CENTER ENTRANCE",Continuous flow - To be assessed for repair/replacement/removal,
MOORE (MAURICE),Moore (Maurice) #1,NORTH END OF PARK NEXT TO PLAYGROUND,Passed testing - returned to normal push-button operation,
MORAN (TERRANCE),Moran (Terrance) #1,SOUTHWEST OF SPRAYPOOL,Continuous flow - To be assessed for repair/replacement/removal,
MORAN (TERRANCE),Moran (Terrance) #2,EAST OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
MORAN (TERRANCE),Moran (Terrance) #3,30' NORTH OF 58TH STREET ENTRANCE,Passed testing - returned to normal push-button operation,
MORGAN (THOMAS LEEDS) FIELD,Morgan (Thomas Leeds) Field #1,NORTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
MOUNT GREENWOOD,Mount Greenwood #1,POOL DECK,Continuous flow - To be assessed for repair/replacement/removal,
MOUNT GREENWOOD,Mount Greenwood #2,SOUTH OF PLAYGROUND,Passed testing - returned to normal push-button operation,
MOUNT GREENWOOD,Mount Greenwood #3,SOUTHEAST OF TENNIS COURTS,Continuous flow - To be assessed for repair/replacement/removal,
MOUNT GREENWOOD,Mount Greenwood #4,"SOUTH END OF PARK, OFF 112TH",Passed testing - returned to normal push-button operation,
MOZART (AMADEUS),Mozart (Amadeus) #1,NEAR THIRD BASELINE OF NORTHEAST DIAMOND,Continuous flow - To be assessed for repair/replacement/removal,
MULBERRY,Mulberry #1,"15' SOUTH OF ROBINSON ENTRANCE, INSIDE PLAYLOT",Passed testing - returned to normal push-button operation,
MUNROE (ROY),Munroe (Roy) #1,BETWEEN PLAYGROUND AND FIELDHOUSE,Passed testing - returned to normal push-button operation,
MUNROE (ROY),Munroe (Roy) #2,SOUTH END OF PARK ON 106TH,Passed testing - returned to normal push-button operation,
MURRAY (DAVID),Murray (David) #1,SOUTH OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
NICHOLS (JOHN FOUNTAIN),Nichols (John Fountain) #1,20' SOUTH OF 53RD ON KENWOOD PATH,Passed testing - returned to normal push-button operation,
NICHOLS (JOHN FOUNTAIN),Nichols (John Fountain) #2,"SOUTH OF NATURE AREA, NORTH OF 54TH",Passed testing - returned to normal push-button operation,
NICHOLS (JOHN FOUNTAIN),Nichols (John Fountain) #3,NORTH PLAYGROUND,Continuous flow - To be assessed for repair/replacement/removal,
NICHOLS (JOHN FOUNTAIN),Nichols (John Fountain) #4,SOUTH PLAYGROUND,Passed testing - returned to normal push-button operation,
NINEBARK,Ninebark #1,"EAST OF ENTRANCE, BETWEEN SWING AREA AND PLAYGROUND",Passed testing - returned to normal push-button operation,
NOETHLING (GRACE),Noethling (Grace) #1,NORTH SIDE OF PARK,Continuous flow - To be assessed for repair/replacement/removal,
NOETHLING (GRACE),Noethling (Grace) #2,NORTH SIDE OF PARK,Passed testing - returned to normal push-button operation,
NORMANDY,Normandy #1,THIRD BASELINE OF BASEBALL DIAMOND,Continuous flow - To be assessed for repair/replacement/removal,
NORMANDY,Normandy #2,NORTH OF FIELDHOUSE,In flushing protocol - 2017 EPA Test pending,
NORTH MAYFAIR,North Mayfair #1,AT PARK ENTRANCE ON CARMEN,Continuous flow - To be assessed for repair/replacement/removal,
NORTHERLY ISLAND,Northerly Island #1,NORTH SIDE OF PLANETARIUM,Passed testing - returned to normal push-button operation,
NORTHERLY ISLAND,Northerly Island #2,SOUTH SIDE OF PLANETARIUM,Passed testing - returned to normal push-button operation,
NORTHERLY ISLAND,Northerly Island #3,12TH STREET BEACH HOUSE,Passed testing - returned to normal push-button operation,
NORWOOD,Norwood #1,IN DOG AREA,Passed testing - returned to normal push-button operation,
NORWOOD,Norwood #2,POOL DECK,In flushing protocol - 2017 EPA Test pending,
NORWOOD,Norwood #3,"ON RUNNING TRACK, NEAR SERVICE YARD",Passed testing - returned to normal push-button operation,
NORWOOD,Norwood #4,IN FRONT OF FIELDHOUSE,Passed testing - returned to normal push-button operation,
NORWOOD,Norwood #5,"ON RUNNING TRACK, NEAR HURLBUT",Passed testing - returned to normal push-button operation,
